,sample_id,spaceranger_path,fullres_path,true_annotation_path,biopsy_sample_id,slide_id,expected_classification,annotated_classification,simple_slide,simple_biopsy
0,V10F03-033_A,./original_data/Spaceranger_analysis/V10F03-033_A,./original_data/High-resolution_tissue_images/V10F03-033/201210_BC_V10F03-033_S8C-T_RJ.A1-Spot000001.jpg,./intermediate_data/classification/cleaned_classification_wenwen/33A.csv,S8-C-1,V10F03-033_A,Control,Normal,33A,S8C1
1,V10F03-033_B,./original_data/Spaceranger_analysis/V10F03-033_B,./original_data/High-resolution_tissue_images/V10F03-033/201210_BC_V10F03-033_S8C-T_RJ.B1-Spot000001.jpg,./intermediate_data/classification/cleaned_classification_wenwen/33B.csv,S8-C-2,V10F03-033_B,Control,Normal,33B,S8C2
2,V10F03-033_C,./original_data/Spaceranger_analysis/V10F03-033_C,./original_data/High-resolution_tissue_images/V10F03-033/201210_BC_V10F03-033_S8C-T_RJ.C1-Spot000001.jpg,./intermediate_data/classification/cleaned_classification_wenwen/33C.csv,S8-T-1,V10F03-033_C,Tumor,Tumor,33C,S8T1
3,V10F03-033_D,./original_data/Spaceranger_analysis/V10F03-033_D,./original_data/High-resolution_tissue_images/V10F03-033/201210_BC_V10F03-033_S8C-T_RJ.D1-Spot000001.jpg,./intermediate_data/classification/cleaned_classification_wenwen/33D.csv,S8-T-2,V10F03-033_D,Tumor,Tumor,33D,S8T2
4,V10F03-034_A,./original_data/Spaceranger_analysis/V10F03-034_A,./original_data/High-resolution_tissue_images/V10F03-034/210223_BC_S7_V10F03-034_RJ.A1-Spot000001.jpg,./intermediate_data/classification/cleaned_classification_wenwen/34A.csv,S7-C-1,V10F03-034_A,Control,Normal,34A,S7C1
5,V10F03-034_B,./original_data/Spaceranger_analysis/V10F03-034_B,./original_data/High-resolution_tissue_images/V10F03-034/210223_BC_S7_V10F03-034_RJ.B1-Spot000001.jpg,./intermediate_data/classification/cleaned_classification_wenwen/34B.csv,S7-C-2,V10F03-034_B,Control,Normal,34B,S7C2
6,V10F03-034_C,./original_data/Spaceranger_analysis/V10F03-034_C,./original_data/High-resolution_tissue_images/V10F03-034/210223_BC_S7_V10F03-034_RJ.C1-Spot000001.jpg,./intermediate_data/classification/cleaned_classification_wenwen/34C.csv,S7-T-1,V10F03-034_C,Tumor,Tumor,34C,S7T1
7,V10F03-034_D,./original_data/Spaceranger_analysis/V10F03-034_D,./original_data/High-resolution_tissue_images/V10F03-034/210223_BC_S7_V10F03-034_RJ.D1-Spot000001.jpg,./intermediate_data/classification/cleaned_classification_wenwen/34D.csv,S7-T-2,V10F03-034_D,Tumor,Tumor,34D,S7T2
8,V10F03-035_A,./original_data/Spaceranger_analysis/V10F03-035_A,./original_data/High-resolution_tissue_images/V10F03-035/210223_BC_S61_V10F03-035_RJ.A1-Spot000001.jpg,./intermediate_data/classification/cleaned_classification_wenwen/35A.csv,S61-C-1,V10F03-035_A,Control,Normal,35A,S61C1
9,V10F03-035_B,./original_data/Spaceranger_analysis/V10F03-035_B,./original_data/High-resolution_tissue_images/V10F03-035/210223_BC_S61_V10F03-035_RJ.B1-Spot000001.jpg,./intermediate_data/classification/cleaned_classification_wenwen/35B.csv,S61-C-2,V10F03-035_B,Control,Normal,35B,S61C2
10,V10F03-035_C,./original_data/Spaceranger_analysis/V10F03-035_C,./original_data/High-resolution_tissue_images/V10F03-035/210223_BC_S61_V10F03-035_RJ.C1-Spot000001.jpg,./intermediate_data/classification/cleaned_classification_wenwen/35C.csv,S61-T-1,V10F03-035_C,Tumor,Normal,35C,S61T1
11,V10F03-035_D,./original_data/Spaceranger_analysis/V10F03-035_D,./original_data/High-resolution_tissue_images/V10F03-035/210223_BC_S61_V10F03-035_RJ.D1-Spot000001.jpg,./intermediate_data/classification/cleaned_classification_wenwen/35D.csv,S61-T-2,V10F03-035_D,Tumor,Normal,35D,S61T2
12,V10F03-036_A,./original_data/Spaceranger_analysis/V10F03-036_A,./original_data/High-resolution_tissue_images/V10F03-036/210528_BC_Slide1_RJ_V10F03-036.A1.2-Spot000001.jpg,./intermediate_data/classification/cleaned_classification_wenwen/36A.csv,S32-C-2,V10F03-036_A,Control,Normal,36A,S32C2
13,V10F03-036_B,./original_data/Spaceranger_analysis/V10F03-036_B,./original_data/High-resolution_tissue_images/V10F03-036/210528_BC_Slide1_RJ_V10F03-036.B1~B-Spot000001.jpg,./intermediate_data/classification/cleaned_classification_wenwen/36B.csv,S20-T-1,V10F03-036_B,Tumor,Tumor,36B,S20T1
14,V10F03-036_C,./original_data/Spaceranger_analysis/V10F03-036_C,./original_data/High-resolution_tissue_images/V10F03-036/210528_BC_Slide1_RJ_V10F03-036.C1~A-Spot000001.jpg,./intermediate_data/classification/cleaned_classification_wenwen/36C.csv,S46-C-2,V10F03-036_C,Control,Normal,36C,S46C2
15,V10F03-036_D,./original_data/Spaceranger_analysis/V10F03-036_D,./original_data/High-resolution_tissue_images/V10F03-036/210528_BC_Slide1_RJ_V10F03-036.D1-Spot000001.jpg,./intermediate_data/classification/cleaned_classification_wenwen/36D.csv,S45-T-1,V10F03-036_D,Tumor,Tumor,36D,S45T1
16,V10J20-070_A,./original_data/Spaceranger_analysis/V10J20-070_A,./original_data/High-resolution_tissue_images/V10J20-070/210528_BC_Slide2_RJ_V10J20-070.A1-Spot000001.jpg,./intermediate_data/classification/cleaned_classification_wenwen/70A.csv,S2-T-1,V10J20-070_A,Tumor,Tumor,70A,S2T1
17,V10J20-070_B,./original_data/Spaceranger_analysis/V10J20-070_B,./original_data/High-resolution_tissue_images/V10J20-070/210528_BC_Slide2_RJ_V10J20-070.Final.B1~A-Spot000001.jpg,./intermediate_data/classification/cleaned_classification_wenwen/70B.csv,S33-T-1,V10J20-070_B,Tumor,Poor annotations,70B,S33T1
18,V10J20-070_C,./original_data/Spaceranger_analysis/V10J20-070_C,./original_data/High-resolution_tissue_images/V10J20-070/210528_BC_Slide2_RJ_V10J20-070.Final.C1~A-Spot000001.jpg,./intermediate_data/classification/cleaned_classification_wenwen/70C.csv,S36-C-2,V10J20-070_C,Control,Unclear,70C,S36C2
19,V10J20-070_D,./original_data/Spaceranger_analysis/V10J20-070_D,./original_data/High-resolution_tissue_images/V10J20-070/210528_BC_Slide2_RJ_V10J20-070.Final.D1-Spot000001.jpg,./intermediate_data/classification/cleaned_classification_wenwen/70D.csv,S6-C-2,V10J20-070_D,Control,Poor annotations,70D,S6C2
20,V10J20-071_A,./original_data/Spaceranger_analysis/V10J20-071_A,./original_data/High-resolution_tissue_images/V10J20-071/210507_BC_Slide3_V10J20-071_RJ.A1-Spot000001.jpg,./intermediate_data/classification/cleaned_classification_wenwen/71A.csv,S2-C-2,V10J20-071_A,Control,Normal,71A,S2C2
